StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q40,Q41,Q42,Q43,Q44,Q2,Q3,Q4,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q17,Q18,Q19,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q15_10,Q15_11,Q15_12,Q15_13,Q15_14,Q20,Q21,Q22,Q23,Q24,Q25,Q34,Q27_1,Q27_2,Q27_3,Q27_4,Q27_5,Q27_6,Q27_7,Q27_8,Q29,Q30,Q31,Q32,Q33
2020-06-22 07:40:50,2020-06-22 07:45:23,IP Address,100,272,True,2020-06-22 07:45:23,R_3feivysjPLCrQIB,anonymous,UK,Так,Так,Так,Так,Так,Так,Ні,"Я виборець, тільки голосував/ла за проекти",Я не пам'ятаю,Ні,5,Так,Так,Ні,Ні,"Людям, як правило, можна довіряти",Скоріше довіряю,Скоріше довіряю,Скоріше довіряю,Повністю довіряю,Зовсім не довіряю,Зовсім не довіряю,Зовсім не довіряю,Зовсім не довіряю,Зовсім не довіряю,Скоріше довіряю,Скоріше не довіряю,Зовсім не довіряю,Зовсім не довіряю,Зовсім не довіряю,Скоріше довіряю,Скоріше довіряю,Скоріше не довіряю,Зовсім не довіряю,Важко сказати,"ОСББ,громадська організація",Так,Так,У мене немає такого досвіду,Скоріше відчуваю,4,Скоріше погоджуюсь,Скоріше погоджуюсь,Важко відповісти,Важко відповісти,Важко відповісти,Скоріше погоджуюсь,Повністю погоджуюсь,Повністю погоджуюсь,Жінка,26-35 років,Я постійно проживаю в Києві,Найманий працівник/ця,Вища
2020-06-22 07:44:17,2020-06-22 07:50:52,IP Address,100,395,True,2020-06-22 07:50:53,R_10CLOk6xMwd4gLD,anonymous,UK,Так,Так,Так,Так,Так,Так,Ні,"Я виборець, тільки голосував/ла за проекти",3,Так,2,Так,Так,Так,Ні,"Людям, як правило, можна довіряти",Важко сказати,Скоріше не довіряю,Скоріше довіряю,Скоріше довіряю,Скоріше довіряю,"Важко відповісти чи довіряю, чи ні","Важко відповісти чи довіряю, чи ні","Важко відповісти чи довіряю, чи ні","Важко відповісти чи довіряю, чи ні",Скоріше довіряю,"Важко відповісти чи довіряю, чи ні","Важко відповісти чи довіряю, чи ні","Важко відповісти чи довіряю, чи ні","Важко відповісти чи довіряю, чи ні","Важко відповісти чи довіряю, чи ні",Скоріше довіряю,Скоріше довіряю,"Важко відповісти чи довіряю, чи ні",Ні,"ні, я не є членом жодного з громадських об'єднань",Так,Так,Складно сказати/не знаю,Скоріше відчуваю,3,Скоріше погоджуюсь,Повністю погоджуюсь,Важко відповісти,Важко відповісти,Скоріше не погоджуюсь,Скоріше не погоджуюсь,Скоріше не погоджуюсь,Скоріше погоджуюсь,Чоловік,26-35 років,Я проживаю в Києві протягом останніх 5 років,Найманий працівник/ця,Вища
2020-06-22 07:37:58,2020-06-22 07:51:55,IP Address,100,836,True,2020-06-22 07:51:55,R_3fCWE2pZ6C4c9Wt,anonymous,UK,Так,Так,Так,Так,Так,Так,Так,Я лідер/ка проекту,5,Так,1,Так,Так,Так,Так,"Людям, як правило, можна довіряти",Скоріше не довіряю,Скоріше довіряю,Скоріше довіряю,Повністю довіряю,"Важко відповісти чи довіряю, чи ні","Важко відповісти чи довіряю, чи ні",Зовсім не довіряю,Зовсім не довіряю,Зовсім не довіряю,"Важко відповісти чи довіряю, чи ні",Скоріше не довіряю,Зовсім не довіряю,Зовсім не довіряю,Зовсім не довіряю,Зовсім не довіряю,Скоріше довіряю,Скоріше не довіряю,Скоріше не довіряю,Так,"громадська організація,релігійне об'єднання, община",Так,Так,У мене є значний досвід,Повністю відчуваю свою відповідальність.,5,Скоріше погоджуюсь,Скоріше погоджуюсь,Скоріше не погоджуюсь,Скоріше не погоджуюсь,Скоріше погоджуюсь,Важко відповісти,Скоріше не погоджуюсь,Повністю погоджуюсь,Чоловік,18-25 років,Я постійно проживаю в Києві,Тимчасово безробітний/а,Вища
2020-06-22 07:54:31,2020-06-22 07:55:06,IP Address,100,35,True,2020-06-22 07:55:06,R_SCeKZhzEQsNCVhf,anonymous,UK,Ні,Так,Так,Так,Так,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-22 07:44:35,2020-06-22 07:56:33,IP Address,100,718,True,2020-06-22 07:56:34,R_1laeDEcSfMXcI27,anonymous,UK,Так,Так,Так,Так,Так,Так,Ні,"Я виборець, тільки голосував/ла за проекти",5,Ні,0,Так,Ні,Ні,Ні,"Людям, як правило, можна довіряти",Скоріше довіряю,Скоріше довіряю,Повністю довіряю,Скоріше довіряю,Скоріше не довіряю,Скоріше не довіряю,Зовсім не довіряю,Зовсім не довіряю,Зовсім не довіряю,Скоріше довіряю,Скоріше не довіряю,Скоріше не довіряю,Скоріше довіряю,"Важко відповісти чи довіряю, чи ні","Важко відповісти чи довіряю, чи ні",Скоріше довіряю,Скоріше не довіряю,Скоріше не довіряю,Ні,"релігійне об'єднання, община,інше",Ні,Так,У мене немає такого досвіду,Скоріше відчуваю,5,Скоріше не погоджуюсь,Важко відповісти,Скоріше погоджуюсь,Скоріше погоджуюсь,Скоріше не погоджуюсь,Скоріше не погоджуюсь,Скоріше погоджуюсь,Скоріше не погоджуюсь,Жінка,26-35 років,Я проживаю в Києві протягом останніх 5 років,Найманий працівник/ця,Вища
2020-06-22 07:53:07,2020-06-22 07:57:29,IP Address,100,261,True,2020-06-22 07:57:29,R_BQEOgokyZzrNgSl,anonymous,UK,Так,Так,Так,Так,Так,Так,Ні,"Я виборець, тільки голосував/ла за проекти",Я не пам'ятаю,Так,2,Так,Ні,Так,Ні,"Людям, як правило, можна довіряти",Скоріше довіряю,Скоріше довіряю,Повністю довіряю,Повністю довіряю,Скоріше не довіряю,Скоріше не довіряю,Скоріше не довіряю,Скоріше не довіряю,Скоріше не довіряю,"Важко відповісти чи довіряю, чи ні","Важко відповісти чи довіряю, чи ні","Важко відповісти чи довіряю, чи ні","Важко відповісти чи довіряю, чи ні","Важко відповісти чи довіряю, чи ні","Важко відповісти чи довіряю, чи ні",Скоріше довіряю,Скоріше не довіряю,Скоріше не довіряю,Так,громадська організація,Так,Так,Маю малий досвід,Скоріше відчуваю,4,Скоріше погоджуюсь,Важко відповісти,Важко відповісти,Важко відповісти,Скоріше не погоджуюсь,Скоріше погоджуюсь,Скоріше погоджуюсь,Повністю погоджуюсь,Чоловік,18-25 років,Я постійно проживаю в Києві,Приватний підприємець/самозайнята особа,Незакінчена вища (3 курси і більше)
2020-06-22 07:58:30,2020-06-22 08:00:03,IP Address,100,93,True,2020-06-22 08:00:03,R_2OUX3sbmO750Npm,anonymous,UK,Так,Так,Так,Так,Так,Ні,Так,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-22 08:03:04,2020-06-22 08:04:35,IP Address,100,91,True,2020-06-22 08:04:35,R_116EXbZAaGwmcj2,anonymous,UK,Так,Так,Так,Так,Так,Ні,Ні,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-22 08:15:47,2020-06-22 08:18:56,IP Address,100,189,True,2020-06-22 08:18:56,R_a4AA7T8JnR1tf1L,anonymous,UK,Так,Так,Так,Так,Так,Так,Так,Я лідер/ка проекту,5,Так,2,Так,Так,Так,Так,"Людям, як правило, можна довіряти",Скоріше довіряю,Скоріше довіряю,Повністю довіряю,Повністю довіряю,Скоріше не довіряю,,,,,,,,,,,,,,Так,"громадська організація,політична партія",Так,Так,Маю малий досвід,Скоріше відчуваю,3,Скоріше погоджуюсь,Повністю погоджуюсь,Скоріше погоджуюсь,Скоріше погоджуюсь,,,,,,36-45 років,Я постійно проживаю в Києві,Приватний підприємець/самозайнята особа,Вища
2020-06-22 08:48:45,2020-06-22 09:03:08,IP Address,100,862,True,2020-06-22 09:03:08,R_UEJQ9ligvr9rs3L,anonymous,UK,Так,Так,Так,Так,Так,Так,Так,Я лідер/ка проекту,5,Так,2,Так,Так,Так,Так,"Людям, як правило, можна довіряти",Скоріше не довіряю,Скоріше довіряю,Скоріше довіряю,Повністю довіряю,"Важко відповісти чи довіряю, чи ні","Важко відповісти чи довіряю, чи ні","Важко відповісти чи довіряю, чи ні",Скоріше не довіряю,"Важко відповісти чи довіряю, чи ні",Скоріше довіряю,"Важко відповісти чи довіряю, чи ні","Важко відповісти чи довіряю, чи ні",Скоріше не довіряю,"Важко відповісти чи довіряю, чи ні",Скоріше не довіряю,Скоріше довіряю,"Важко відповісти чи довіряю, чи ні","Важко відповісти чи довіряю, чи ні",Так,"громадська організація,профспілка,наукове, освітнє об'єднання",Так,Ні,Маю малий досвід,Повністю відчуваю свою відповідальність.,5,Повністю погоджуюсь,Скоріше погоджуюсь,Скоріше не погоджуюсь,Скоріше не погоджуюсь,Важко відповісти,Скоріше погоджуюсь,Важко відповісти,Повністю погоджуюсь,Чоловік,18-25 років,Я постійно проживаю в Києві,Студент/ка,Вища
2020-06-22 08:54:29,2020-06-22 09:03:46,IP Address,100,556,True,2020-06-22 09:03:47,R_Zkqy5fadmIxKyw9,anonymous,UK,Так,Так,Так,Так,Так,Так,Так,Я учасник/ця команди проекту,5,Так,5,Так,Так,Так,Так,"Людям, як правило, можна довіряти",Скоріше не довіряю,Скоріше довіряю,Повністю довіряю,Повністю довіряю,Скоріше не довіряю,"Важко відповісти чи довіряю, чи ні",Скоріше не довіряю,Скоріше не довіряю,Скоріше не довіряю,Повністю довіряю,"Важко відповісти чи довіряю, чи ні","Важко відповісти чи довіряю, чи ні",Зовсім не довіряю,Скоріше не довіряю,Скоріше не довіряю,Скоріше довіряю,"Важко відповісти чи довіряю, чи ні","Важко відповісти чи довіряю, чи ні",Так,"громадська організація,профспілка",Так,Так,Я повністю залучений/а до політичній/громадській діяльності міста,Складно сказати,5,Повністю погоджуюсь,Повністю погоджуюсь,Скоріше не погоджуюсь,Скоріше не погоджуюсь,Скоріше погоджуюсь,Скоріше погоджуюсь,Важко відповісти,Повністю погоджуюсь,Чоловік,26-35 років,Я проживаю в Києві протягом останніх 5 років,Найманий працівник/ця,Вища
2020-06-22 09:05:30,2020-06-22 09:11:28,IP Address,100,358,True,2020-06-22 09:11:29,R_1riY3DBMpw4qHrr,anonymous,UK,Так,Так,Так,Так,Так,Так,Так,Я лідер/ка проекту,5,Так,0,Так,Так,Так,Так,"Людям, як правило, можна довіряти",Важко сказати,Повністю довіряю,Повністю довіряю,Повністю довіряю,Скоріше не довіряю,"Важко відповісти чи довіряю, чи ні","Важко відповісти чи довіряю, чи ні","Важко відповісти чи довіряю, чи ні","Важко відповісти чи довіряю, чи ні","Важко відповісти чи довіряю, чи ні","Важко відповісти чи довіряю, чи ні","Важко відповісти чи довіряю, чи ні",,"Важко відповісти чи довіряю, чи ні",Скоріше довіряю,Скоріше довіряю,"Важко відповісти чи довіряю, чи ні","Важко відповісти чи довіряю, чи ні",Так,"громадська організація,інше",Так,Так,У мене є значний досвід,Складно сказати,4,Повністю погоджуюсь,Скоріше погоджуюсь,Важко відповісти,Важко відповісти,Скоріше погоджуюсь,Скоріше погоджуюсь,Скоріше погоджуюсь,Скоріше погоджуюсь,Жінка,36-45 років,Я постійно проживаю в Києві,Найманий працівник/ця,Вища
2020-06-22 09:26:40,2020-06-22 09:27:19,IP Address,100,38,True,2020-06-22 09:27:19,R_OygW9mxh4SK2zCx,anonymous,UK,Ні,Ні,Так,Так,Так,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
